"org.clojure/math.combinatorics","0.1.6","Eclipse Public License 1.0"
"org.apache.httpcomponents/httpcore","4.4.14","Apache License, Version 2.0"
"com.taoensso/timbre","4.10.0","Eclipse Public License"
"org.codehaus.plexus/plexus-utils","3.2.0","Apache License, Version 2.0"
"caesium","0.14.0","Eclipse Public License"
"org.nrepl/incomplete","0.1.0","EPL-2.0 OR GPL-2.0-or-later WITH Classpath-exception-2.0"
"scout","0.1.1","Eclipse Public License"
"org.apache.maven/maven-model","3.6.1","Apache License, Version 2.0"
"org.apache.maven/maven-builder-support","3.6.1","Apache License, Version 2.0"
"com.github.jnr/jffi","1.2.23","The Apache Software License, Version 2.0"
"io.aleph/dirigiste","0.1.5","MIT License"
"borkdude/dynaload","0.2.2","Eclipse Public License 1.0"
"org.ow2.asm/asm-analysis","7.1","BSD"
"potemkin","0.4.5","MIT License"
"org.clojure/test.check","1.1.1","Eclipse Public License 1.0"
"org.clojure/tools.macro","0.1.5","Eclipse Public License 1.0"
"org.apache.maven/maven-resolver-provider","3.6.1","Apache License, Version 2.0"
"org.clojure/core.specs.alpha","0.2.56","Eclipse Public License 1.0"
"defun","0.3.1","Eclipse Public License"
"org.slf4j/slf4j-api","1.7.25","MIT License"
"com.taoensso/truss","1.5.0","Eclipse Public License"
"org.apache.maven.wagon/wagon-http-shared","3.3.4","Apache License, Version 2.0"
"org.clojure/data.codec","0.1.0","Eclipse Public License 1.0"
"org.apache.commons/commons-lang3","3.8.1","Apache License, Version 2.0"
"timofreiberg/bultitude","0.3.0","Eclipse Public License 1.0"
"com.hypirion/io","0.3.1","Eclipse Public License"
"clj-http","3.12.3","The MIT License"
"commons-codec","1.15","Apache License, Version 2.0"
"org.ow2.asm/asm","7.1","BSD"
"org.codehaus.plexus/plexus-component-annotations","1.7.1","Apache License, Version 2.0"
"net.cgrand/regex","1.1.0","unknown"
"org.apache.httpcomponents/httpmime","4.5.13","Apache License, Version 2.0"
"robert/hooke","1.3.0","Eclipse Public License"
"org.clojure/core.rrb-vector","0.1.2","Eclipse Public License 1.0"
"com.fasterxml.jackson.core/jackson-annotations","2.13.0","The Apache Software License, Version 2.0"
"org.apache.maven.wagon/wagon-provider-api","3.3.4","Apache License, Version 2.0"
"org.apache.maven.resolver/maven-resolver-transport-wagon","1.3.3","Apache License, Version 2.0"
"org.apache.httpcomponents/httpclient","4.5.13","Apache License, Version 2.0"
"org.tcrawley/dynapath","1.0.0","Eclipse Public License"
"com.fasterxml.jackson.datatype/jackson-datatype-jsr310","2.13.0","The Apache Software License, Version 2.0"
"quoin","0.1.2","Eclipse Public License"
"camel-snake-kebab","0.4.2","Eclipse Public License"
"com.github.jnr/jnr-ffi","2.1.12","The Apache Software License, Version 2.0"
"com.brunobonacci/mulog","0.4.0","Apache License 2.0"
"org.slf4j/slf4j-nop","1.7.25","MIT License"
"primitive-math","0.1.6","MIT License"
"commons-io","2.8.0","Apache License, Version 2.0"
"org.clojure/tools.logging","1.1.0","Eclipse Public License 1.0"
"org.ow2.asm/asm-util","7.1","BSD"
"nrepl","0.8.3","Eclipse Public License"
"org.apache.maven.resolver/maven-resolver-spi","1.3.3","Apache License, Version 2.0"
"clj-tuple","0.2.2","MIT License"
"com.github.jnr/jnr-a64asm","1.0.0","The Apache Software License, Version 2.0"
"clj-commons/pomegranate","1.2.1","Eclipse Public License"
"amalloy/ring-buffer","1.3.1","Eclipse Public License"
"javax.inject","1","The Apache Software License, Version 2.0"
"org.apache.maven.resolver/maven-resolver-impl","1.3.3","Apache License, Version 2.0"
"com.github.jnr/jffi","1.2.23","The Apache Software License, Version 2.0"
"com.fasterxml.jackson.core/jackson-databind","2.13.0","The Apache Software License, Version 2.0"
"slingshot","0.12.2","Eclipse Public License 1.0"
"riddley","0.1.14","MIT License"
"org.apache.maven.resolver/maven-resolver-transport-http","1.3.3","Apache License, Version 2.0"
"commons-lang","2.6","The Apache Software License, Version 2.0"
"org.apache.httpcomponents/httpasyncclient","4.1.4","Apache License, Version 2.0"
"org.clojure/data.xml","0.2.0-alpha5","Eclipse Public License 1.0"
"org.apache.maven.resolver/maven-resolver-util","1.3.3","Apache License, Version 2.0"
"org.apache.httpcomponents/httpclient-cache","4.5.13","Apache License, Version 2.0"
"org.apache.maven.resolver/maven-resolver-transport-file","1.3.3","Apache License, Version 2.0"
"io.aviso/pretty","0.1.33","Apache Sofware License 2.0"
"borkdude/edamame","0.0.19","Eclipse Public License 1.0"
"fipp","0.6.25","Eclipse Public License"
"org.clojure/core.match","1.0.0","Eclipse Public License 1.0"
"com.github.jnr/jnr-x86asm","1.0.2","MIT License"
"org.clojure/clojure","1.10.3","Eclipse Public License 1.0"
"org.apache.maven/maven-model-builder","3.6.1","Apache License, Version 2.0"
"medley","1.2.0","Eclipse Public License"
"org.jsoup/jsoup","1.12.1","The MIT License"
"org.apache.maven.resolver/maven-resolver-connector-basic","1.3.3","Apache License, Version 2.0"
"org.apache.maven.wagon/wagon-http","3.3.4","Apache License, Version 2.0"
"babashka/fs","0.1.2","Eclipse Public License 1.0"
"com.github.piotr-yuxuan/malli-cli","2.0.0","European Union Public License 1.2 or later"
"stencil","0.5.0","unknown"
"org.apache.maven.resolver/maven-resolver-api","1.3.3","Apache License, Version 2.0"
"org.codehaus.plexus/plexus-interpolation","1.25","Apache License, Version 2.0"
"org.clojure/spec.alpha","0.2.194","Eclipse Public License 1.0"
"leiningen-core","2.9.6","Eclipse Public License"
"org.apache.maven/maven-artifact","3.6.1","Apache License, Version 2.0"
"org.clojars.trptcolin/sjacket","0.1.1.1","Eclipse Public License 1.0"
"manifold","0.1.8","MIT License"
"commons-logging","1.2","The Apache Software License, Version 2.0"
"metosin/malli","0.8.4","Eclipse Public License 2.0"
"org.apache.httpcomponents/httpcore-nio","4.4.10","Apache License, Version 2.0"
"metosin/jsonista","0.3.5","Eclipse Public License"
"org.ow2.asm/asm-commons","7.1","BSD"
"org.ow2.asm/asm-tree","7.1","BSD"
"org.flatland/classlojure","0.7.1","Eclipse Public License - v 1.0"
"babashka/process","0.1.1","EPL-1.0"
"com.brunobonacci/safely","0.7.0-alpha3","Apache License 2.0"
"leiningen","2.9.6","Eclipse Public License"
"com.fasterxml.jackson.core/jackson-core","2.13.0","The Apache Software License, Version 2.0"
"org.clojure/tools.reader","1.3.4","Eclipse Public License 1.0"
"org.apache.maven/maven-repository-metadata","3.6.1","Apache License, Version 2.0"
"net.cgrand/parsley","0.9.3","Eclipse Public License 1.0"
"byte-streams","0.2.4","MIT License"
"mvxcvi/arrangement","2.0.0","Public Domain"
"com.taoensso/encore","2.91.0","Eclipse Public License"
